batch_id,supplier_id,component_name,quantity_produced,production_date,received_date,quantity_passed_qc
BATCH-2026-00033,44,PCB,348,2026-02-22,2026-02-28,341
BATCH-2025-00034,37,Sensor,1325,2025-11-06,2025-11-25,1286
BATCH-2025-00035,49,Charger,1409,2025-09-09,2025-09-22,1395
BATCH-2026-00036,34,Memory,2936,2026-08-20,2026-09-08,2840
BATCH-2025-00037,30,Memory,1567,2025-12-24,2026-01-11,1506
BATCH-2024-00038,6,Motherboard,4249,2024-09-22,2024-10-12,4207
BATCH-2026-00039,10,Microcontroller,7410,2026-04-28,2026-05-09,7166
BATCH-2026-00040,24,PCB,276,2026-01-15,2026-01-21,262
BATCH-2025-00041,13,PCB,4684,2025-03-06,2025-03-16,4466
BATCH-2026-00042,27,Microcontroller,8691,2026-03-21,2026-04-04,8403
BATCH-2025-00043,6,Connector,9273,2025-07-25,2025-07-31,8556
BATCH-2025-00044,33,Camera,4594,2025-10-10,2025-10-18,4334
BATCH-2026-00045,50,Motherboard,8425,2026-05-07,2026-05-27,7821
BATCH-2025-00046,6,Sensor,5985,2025-06-06,2025-06-13,5925
BATCH-2025-00047,16,Charger,9242,2025-01-01,2025-01-20,9150
BATCH-2025-00048,47,Battery,2919,2025-11-13,2025-11-20,2726
BATCH-2024-00049,28,Processor,7120,2024-10-28,2024-11-05,6860
BATCH-2025-00050,9,Sensor,5952,2025-09-29,2025-10-14,5814
BATCH-2025-00051,42,Charger,9846,2025-09-21,2025-10-07,9481
BATCH-2025-00052,44,Memory,530,2025-09-12,2025-09-19,525
BATCH-2025-00053,12,Camera,6462,2025-11-08,2025-11-28,6251
BATCH-2026-00054,21,Processor,3799,2026-07-25,2026-08-07,3573
BATCH-2024-00055,5,PCB,1156,2024-10-25,2024-11-05,1057
BATCH-2026-00056,47,PCB,8452,2026-04-25,2026-05-14,7950
BATCH-2026-00057,17,PCB,5836,2026-04-10,2026-04-25,5588
BATCH-2026-00058,33,Motherboard,1432,2026-05-14,2026-05-27,1403
BATCH-2025-00059,49,Fan,8354,2025-08-21,2025-09-07,8104
BATCH-2024-00060,20,Camera,2738,2024-11-01,2024-11-08,2512
BATCH-2025-00061,9,Connector,6081,2025-03-06,2025-03-16,6020
BATCH-2025-00062,19,Motherboard,3342,2025-07-31,2025-08-11,3112
BATCH-2026-00063,12,Charger,7949,2026-08-11,2026-08-26,7870
BATCH-2025-00064,46,Motherboard,3351,2025-08-20,2025-09-02,3317
BATCH-2026-00065,25,Speaker,2103,2026-04-28,2026-05-11,2057
BATCH-2025-00066,27,Display,2953,2025-01-25,2025-02-10,2807
BATCH-2026-00067,30,Speaker,5083,2026-06-08,2026-06-27,5021
BATCH-2025-00068,7,Power IC,1041,2025-12-15,2025-12-31,1031
BATCH-2024-00069,27,Microcontroller,7262,2024-12-27,2025-01-16,7023
BATCH-2025-00070,48,Connector,5978,2025-08-08,2025-08-25,5658
BATCH-2025-00071,47,Microcontroller,992,2025-03-21,2025-04-06,944
BATCH-2025-00072,30,Memory,6200,2025-01-18,2025-01-25,6122
BATCH-2025-00073,1,Power IC,4812,2025-08-24,2025-09-08,4725
BATCH-2025-00074,27,Fan,8013,2025-09-30,2025-10-12,7440
BATCH-2024-00075,7,Microcontroller,8466,2024-12-14,2024-12-31,8381
BATCH-2026-00076,6,Sensor,6613,2026-03-04,2026-03-15,6298
BATCH-2025-00077,11,Speaker,7333,2025-05-19,2025-06-04,7223
BATCH-2026-00078,45,Power IC,2778,2026-04-21,2026-05-01,2655
BATCH-2025-00079,16,Battery,9617,2025-01-03,2025-01-09,9162
BATCH-2024-00080,47,Motherboard,3895,2024-12-20,2025-01-05,3700
BATCH-2026-00081,48,Microcontroller,3672,2026-04-10,2026-04-24,3540
BATCH-2024-00082,24,Speaker,9868,2024-09-21,2024-10-07,9746
BATCH-2026-00083,22,Display,2782,2026-05-31,2026-06-19,2580
BATCH-2024-00084,32,Sensor,5924,2024-10-11,2024-10-26,5779
BATCH-2026-00085,5,Sensor,7254,2026-05-13,2026-05-24,6656
BATCH-2024-00086,15,Charger,4479,2024-09-26,2024-10-05,4352
BATCH-2024-00087,37,Motherboard,5495,2024-12-07,2024-12-18,5408
BATCH-2026-00088,50,Speaker,2910,2026-04-08,2026-04-26,2838
BATCH-2026-00089,34,Microcontroller,337,2026-01-16,2026-01-23,334
BATCH-2026-00090,33,Speaker,8981,2026-06-10,2026-06-15,8604
BATCH-2026-00091,23,Battery,8558,2026-04-08,2026-04-25,8319
BATCH-2026-00092,10,Charger,6597,2026-07-13,2026-07-18,6458
BATCH-2025-00093,8,Processor,8218,2025-12-04,2025-12-24,7654
BATCH-2025-00094,41,Charger,8509,2025-03-15,2025-03-20,8424
BATCH-2026-00095,49,Fan,1290,2026-04-04,2026-04-22,1277
BATCH-2025-00096,35,Sensor,497,2025-08-17,2025-08-25,491
BATCH-2026-00097,28,Power IC,951,2026-06-01,2026-06-13,894
BATCH-2024-00098,8,Processor,2011,2024-09-29,2024-10-08,1988
BATCH-2025-00099,27,Microcontroller,7520,2025-12-08,2025-12-21,7175
BATCH-2025-00100,3,Processor,519,2025-02-24,2025-03-15,473
BATCH-2024-00101,21,Battery,3774,2024-11-23,2024-12-10,3554
BATCH-2025-00102,10,Power IC,4640,2025-10-19,2025-11-05,4534
BATCH-2025-00103,44,Power IC,4521,2025-01-01,2025-01-09,4384
BATCH-2025-00104,48,Connector,5822,2025-10-15,2025-10-31,5564
BATCH-2025-00105,23,Microcontroller,1663,2025-01-04,2025-01-16,1646
BATCH-2024-00106,26,Fan,4794,2024-12-21,2024-12-27,4612
BATCH-2025-00107,48,Camera,1024,2025-04-28,2025-05-12,996
BATCH-2026-00108,22,Connector,6383,2026-08-28,2026-09-08,6106
BATCH-2025-00109,43,Camera,9497,2025-11-21,2025-12-05,8951
BATCH-2025-00110,16,Charger,4242,2025-09-01,2025-09-13,4200
BATCH-2025-00111,5,Power IC,3573,2025-11-05,2025-11-19,3396
BATCH-2025-00112,36,Power IC,6559,2025-12-12,2025-12-22,6249
BATCH-2025-00113,18,Memory,2050,2025-07-29,2025-08-11,2030
BATCH-2026-00114,32,Microcontroller,5176,2026-05-01,2026-05-17,5048
BATCH-2025-00115,7,Fan,8518,2025-09-20,2025-10-06,8144
BATCH-2025-00116,27,Camera,3213,2025-10-02,2025-10-20,3181
BATCH-2024-00117,44,PCB,8237,2024-10-28,2024-11-03,8152
BATCH-2026-00118,15,Sensor,1812,2026-03-05,2026-03-15,1654
BATCH-2026-00119,46,Processor,4423,2026-05-14,2026-05-30,4379
BATCH-2025-00120,43,Speaker,1620,2025-03-11,2025-03-25,1485
BATCH-2026-00121,26,Connector,5067,2026-08-18,2026-08-24,4921
BATCH-2026-00122,50,Connector,3178,2026-04-03,2026-04-19,2919
BATCH-2025-00123,38,Connector,9264,2025-12-29,2026-01-08,9038
BATCH-2025-00124,1,Motherboard,5298,2025-08-24,2025-08-31,5101
BATCH-2026-00125,21,PCB,9212,2026-09-10,2026-09-30,8716
BATCH-2026-00126,28,PCB,9905,2026-01-06,2026-01-13,9806
BATCH-2024-00127,43,Connector,3353,2024-11-15,2024-12-03,3220
BATCH-2026-00128,38,Sensor,4746,2026-07-20,2026-07-27,4425
BATCH-2024-00129,13,Fan,9414,2024-10-20,2024-11-04,9320
BATCH-2026-00130,12,Battery,4953,2026-09-14,2026-09-28,4589
BATCH-2025-00131,1,Display,2762,2025-03-14,2025-04-01,2724
BATCH-2025-00132,43,Memory,6527,2025-07-11,2025-07-26,6201
BATCH-2025-00133,31,Processor,7277,2025-06-12,2025-06-28,7204
BATCH-2025-00134,27,Microcontroller,8461,2025-05-17,2025-05-29,8355
BATCH-2025-00135,35,PCB,3762,2025-09-21,2025-10-02,3521
BATCH-2025-00136,46,Display,8518,2025-06-25,2025-07-05,7975
BATCH-2026-00137,2,Connector,9983,2026-07-19,2026-08-03,9620
BATCH-2025-00138,32,Processor,3455,2025-05-07,2025-05-15,3348
BATCH-2025-00139,31,Fan,6939,2025-08-11,2025-08-22,6525
BATCH-2025-00140,16,Memory,172,2025-07-18,2025-07-27,165
BATCH-2026-00141,27,Power IC,7164,2026-09-04,2026-09-21,7092
BATCH-2026-00142,32,Microcontroller,7638,2026-01-06,2026-01-25,6971
BATCH-2026-00143,15,Microcontroller,6271,2026-04-11,2026-04-23,6123
BATCH-2026-00144,44,Memory,7351,2026-05-01,2026-05-13,7038
BATCH-2026-00145,49,Speaker,4227,2026-08-26,2026-09-01,4108
BATCH-2026-00146,50,PCB,7364,2026-08-27,2026-09-12,6974
BATCH-2024-00147,1,Display,3048,2024-10-17,2024-10-30,2948
BATCH-2026-00148,39,Fan,9857,2026-06-07,2026-06-19,9064
BATCH-2026-00149,13,Connector,832,2026-04-20,2026-05-05,802
BATCH-2025-00150,5,Memory,8041,2025-03-31,2025-04-19,7853
BATCH-2025-00151,12,Processor,645,2025-06-17,2025-07-07,620
BATCH-2026-00152,3,Microcontroller,6786,2026-03-28,2026-04-13,6568
BATCH-2026-00153,1,Fan,7425,2026-03-11,2026-03-22,7322
BATCH-2024-00154,41,Fan,2422,2024-12-01,2024-12-15,2338
BATCH-2025-00155,23,Processor,9522,2025-09-28,2025-10-07,9427
BATCH-2026-00156,34,Motherboard,4073,2026-02-10,2026-03-01,4032
BATCH-2026-00157,13,Camera,4208,2026-06-02,2026-06-15,4166
BATCH-2026-00158,18,Fan,3059,2026-02-18,2026-03-04,2941
BATCH-2026-00159,6,Camera,5542,2026-06-27,2026-07-15,5437
BATCH-2025-00160,10,Speaker,3485,2025-08-12,2025-08-28,3450
BATCH-2025-00161,27,Microcontroller,6419,2025-04-22,2025-05-09,6268
BATCH-2025-00162,21,Display,5791,2025-02-01,2025-02-21,5424
BATCH-2025-00163,37,Power IC,696,2025-07-01,2025-07-13,689
BATCH-2024-00164,46,Charger,1430,2024-12-02,2024-12-12,1331
BATCH-2024-00165,18,Battery,5593,2024-09-30,2024-10-09,5446
BATCH-2025-00166,23,Fan,3498,2025-08-12,2025-08-23,3287
BATCH-2025-00167,49,Motherboard,5081,2025-10-17,2025-11-06,4896
BATCH-2025-00168,15,Connector,2427,2025-11-01,2025-11-11,2356
BATCH-2026-00169,16,Memory,9842,2026-03-13,2026-03-21,9704
BATCH-2026-00170,30,Processor,3064,2026-06-03,2026-06-11,3001
BATCH-2026-00171,9,Battery,3535,2026-06-18,2026-06-23,3476
BATCH-2025-00172,15,Camera,7941,2025-11-19,2025-12-06,7774
BATCH-2026-00173,44,Sensor,9505,2026-09-14,2026-09-28,9195
BATCH-2025-00174,34,Sensor,1933,2025-01-20,2025-02-02,1914
BATCH-2026-00175,22,Speaker,3257,2026-08-16,2026-09-02,3163
BATCH-2026-00176,26,Display,454,2026-08-03,2026-08-23,427
BATCH-2025-00177,15,Processor,607,2025-03-16,2025-03-30,568
BATCH-2026-00178,4,Camera,5209,2026-04-17,2026-04-27,5069
BATCH-2025-00179,43,Display,6392,2025-06-25,2025-07-12,5942
BATCH-2026-00180,4,Sensor,2149,2026-09-01,2026-09-10,2092
BATCH-2024-00181,12,Connector,1599,2024-09-19,2024-09-28,1536
BATCH-2024-00182,6,Battery,112,2024-12-08,2024-12-21,105
BATCH-2025-00183,2,Charger,4160,2025-07-29,2025-08-11,3982
BATCH-2025-00184,40,Memory,2677,2025-03-04,2025-03-14,2452
BATCH-2026-00185,46,Sensor,8647,2026-01-29,2026-02-08,8349
BATCH-2025-00186,12,Camera,9311,2025-09-05,2025-09-10,8924
BATCH-2025-00187,44,Speaker,1994,2025-01-05,2025-01-19,1941
BATCH-2024-00188,3,Processor,9197,2024-11-22,2024-11-27,8978
BATCH-2024-00189,41,Processor,1620,2024-12-07,2024-12-23,1604
BATCH-2025-00190,32,Display,5735,2025-03-05,2025-03-19,5313
BATCH-2026-00191,25,Processor,2878,2026-06-02,2026-06-15,2848
BATCH-2026-00192,31,Fan,7752,2026-09-14,2026-10-02,7572
BATCH-2025-00193,13,Fan,5614,2025-08-15,2025-09-04,5558
BATCH-2026-00194,31,Display,3679,2026-03-07,2026-03-25,3642
BATCH-2025-00195,28,PCB,1218,2025-11-30,2025-12-09,1206
BATCH-2026-00196,11,Power IC,3244,2026-05-11,2026-05-17,3204
BATCH-2024-00197,37,Charger,3895,2024-10-01,2024-10-17,3703
BATCH-2025-00198,9,PCB,7110,2025-04-26,2025-05-12,7039
BATCH-2025-00199,7,Fan,1564,2025-11-25,2025-12-03,1534
BATCH-2024-00200,7,Speaker,6962,2024-10-31,2024-11-07,6803
BATCH-2024-00201,7,Microcontroller,2723,2024-09-20,2024-10-09,2696
BATCH-2025-00202,1,Power IC,5888,2025-06-28,2025-07-05,5807
BATCH-2025-00203,5,Fan,4209,2025-10-14,2025-10-21,4015
BATCH-2025-00204,32,Motherboard,600,2025-08-10,2025-08-24,591
BATCH-2026-00205,18,Speaker,9770,2026-05-21,2026-05-29,9672
BATCH-2026-00206,1,Battery,2389,2026-05-29,2026-06-16,2344
BATCH-2025-00207,31,Power IC,1934,2025-10-27,2025-11-09,1907
BATCH-2026-00208,20,Memory,7285,2026-03-29,2026-04-12,6978
BATCH-2025-00209,36,Microcontroller,1583,2025-07-21,2025-08-09,1514
BATCH-2025-00210,26,Processor,7981,2025-06-06,2025-06-19,7564
BATCH-2026-00211,47,Display,7745,2026-06-29,2026-07-14,7548
BATCH-2025-00212,20,Sensor,1578,2025-06-07,2025-06-27,1498
BATCH-2026-00213,35,Battery,9208,2026-06-07,2026-06-27,8525
BATCH-2026-00214,46,Charger,4751,2026-06-22,2026-07-08,4557
BATCH-2025-00215,33,Connector,4189,2025-09-30,2025-10-06,3807
BATCH-2026-00216,38,Memory,7852,2026-08-12,2026-08-26,7284
BATCH-2026-00217,39,Fan,7025,2026-06-11,2026-06-29,6714
BATCH-2025-00218,40,Processor,2123,2025-07-29,2025-08-14,2048
BATCH-2025-00219,11,Microcontroller,9882,2025-06-20,2025-07-07,9653
BATCH-2025-00220,36,Power IC,4007,2025-12-19,2025-12-29,3967
BATCH-2025-00221,29,Power IC,3908,2025-07-13,2025-07-18,3753
BATCH-2024-00222,31,Memory,4730,2024-11-06,2024-11-14,4623
BATCH-2024-00223,19,Connector,7713,2024-12-22,2025-01-01,7468
BATCH-2024-00224,9,Processor,3461,2024-10-05,2024-10-25,3282
BATCH-2026-00225,10,Display,4781,2026-03-22,2026-04-05,4612
BATCH-2026-00226,45,Sensor,2100,2026-08-31,2026-09-07,1993
BATCH-2025-00227,3,Sensor,4602,2025-03-26,2025-04-02,4287
BATCH-2025-00228,3,Display,9598,2025-03-15,2025-03-30,8728
BATCH-2025-00229,45,Display,2417,2025-03-21,2025-03-28,2313
BATCH-2026-00230,15,Charger,8780,2026-04-05,2026-04-24,8624
BATCH-2026-00231,31,Microcontroller,3613,2026-08-14,2026-08-28,3554
BATCH-2025-00232,4,Microcontroller,3114,2025-02-27,2025-03-12,2854
BATCH-2025-00233,41,PCB,7456,2025-12-12,2025-12-23,7205
BATCH-2025-00234,28,Display,2607,2025-08-15,2025-08-22,2581
BATCH-2026-00235,19,Power IC,5288,2026-03-08,2026-03-24,4861
BATCH-2024-00236,15,PCB,4108,2024-12-08,2024-12-25,3922
BATCH-2026-00237,3,Battery,6073,2026-08-06,2026-08-17,5776
BATCH-2025-00238,7,Motherboard,1094,2025-06-25,2025-07-04,1038
BATCH-2025-00239,31,Battery,6542,2025-07-16,2025-07-21,6287
BATCH-2024-00240,23,Fan,7132,2024-12-24,2025-01-11,7061
BATCH-2025-00241,27,Memory,7228,2025-03-18,2025-03-28,7027
BATCH-2024-00242,13,Processor,9407,2024-11-11,2024-11-30,9085
BATCH-2025-00243,17,Memory,2894,2025-09-11,2025-09-23,2822
BATCH-2025-00244,27,PCB,4402,2025-06-08,2025-06-15,4315
BATCH-2025-00245,10,Microcontroller,985,2025-09-04,2025-09-22,975
BATCH-2026-00246,48,Connector,5589,2026-08-19,2026-08-27,5375
BATCH-2024-00247,44,Processor,3863,2024-12-13,2024-12-20,3824
BATCH-2024-00248,46,Fan,6121,2024-11-09,2024-11-21,5911
BATCH-2025-00249,27,Memory,6639,2025-02-01,2025-02-19,6570
BATCH-2025-00250,50,PCB,7442,2025-06-15,2025-06-27,7211
BATCH-2025-00251,42,Fan,6851,2025-05-25,2025-06-07,6782
BATCH-2026-00252,3,Processor,7965,2026-01-11,2026-01-25,7620
BATCH-2025-00253,32,PCB,8291,2025-02-19,2025-02-27,7859
BATCH-2026-00254,47,Charger,6426,2026-03-22,2026-03-27,6004
BATCH-2024-00255,15,Camera,8794,2024-11-02,2024-11-13,8437
BATCH-2026-00256,23,Sensor,1608,2026-04-15,2026-04-30,1588
BATCH-2025-00257,8,Fan,6512,2025-05-08,2025-05-19,6447
BATCH-2026-00258,37,Charger,6634,2026-01-11,2026-01-25,6568
BATCH-2025-00259,31,Microcontroller,5303,2025-05-26,2025-06-08,5250
BATCH-2025-00260,9,Microcontroller,8476,2025-11-18,2025-11-23,7949
BATCH-2026-00261,15,Fan,7490,2026-03-19,2026-03-28,7122
BATCH-2025-00262,50,Motherboard,6634,2025-01-21,2025-01-30,6568
BATCH-2026-00263,36,Connector,7374,2026-03-11,2026-03-22,7153
BATCH-2025-00264,21,Battery,7226,2025-11-22,2025-12-05,7021
BATCH-2026-00265,17,Connector,1976,2026-01-03,2026-01-14,1886
BATCH-2025-00266,18,Sensor,4456,2025-03-25,2025-04-01,4357
BATCH-2026-00267,17,Speaker,1399,2026-01-09,2026-01-25,1363
BATCH-2026-00268,34,Fan,3333,2026-04-28,2026-05-06,3201
BATCH-2025-00269,47,Fan,7538,2025-03-17,2025-04-05,7310
BATCH-2026-00270,34,Fan,2824,2026-03-31,2026-04-07,2791
BATCH-2026-00271,15,Speaker,9153,2026-07-14,2026-07-30,8914
BATCH-2026-00272,11,Memory,7044,2026-04-02,2026-04-22,6514
BATCH-2025-00273,38,Camera,3146,2025-12-18,2025-12-24,3100
BATCH-2025-00274,17,Memory,4057,2025-08-05,2025-08-20,3963
BATCH-2026-00275,27,Connector,7038,2026-06-18,2026-07-08,6800
BATCH-2026-00276,31,Battery,9366,2026-05-29,2026-06-16,8922
BATCH-2025-00277,43,Memory,7076,2025-09-10,2025-09-22,6616
BATCH-2025-00278,32,PCB,2517,2025-07-09,2025-07-28,2483
BATCH-2026-00279,16,PCB,9368,2026-09-02,2026-09-07,9125
BATCH-2024-00280,38,Camera,7650,2024-12-03,2024-12-15,7048
BATCH-2026-00281,35,Camera,6102,2026-01-01,2026-01-16,5845
BATCH-2025-00282,15,Sensor,5901,2025-06-09,2025-06-20,5842
BATCH-2026-00283,33,PCB,2978,2026-06-08,2026-06-22,2901
BATCH-2025-00284,9,Processor,3428,2025-08-15,2025-09-01,3394
BATCH-2026-00285,12,Display,7029,2026-04-06,2026-04-20,6893
BATCH-2025-00286,6,Sensor,9987,2025-04-15,2025-04-23,9710
BATCH-2025-00287,2,Connector,4071,2025-12-14,2026-01-02,4030
BATCH-2026-00288,47,Power IC,789,2026-08-04,2026-08-11,773
BATCH-2026-00289,13,Camera,4814,2026-06-25,2026-07-03,4550
BATCH-2025-00290,34,Speaker,8342,2025-11-12,2025-11-19,8058
BATCH-2025-00291,26,Memory,2512,2025-09-18,2025-09-27,2424
BATCH-2024-00292,35,Processor,9922,2024-10-05,2024-10-25,9458
BATCH-2026-00293,6,Display,6866,2026-03-03,2026-03-09,6797
BATCH-2025-00294,49,Charger,4666,2025-01-25,2025-02-05,4576
BATCH-2025-00295,19,Speaker,7655,2025-06-02,2025-06-12,7071
BATCH-2026-00296,40,Fan,8231,2026-08-02,2026-08-13,8149
BATCH-2026-00297,12,Motherboard,7173,2026-04-26,2026-05-03,7032
BATCH-2025-00298,25,Camera,1524,2025-11-08,2025-11-27,1509
BATCH-2025-00299,17,Battery,3148,2025-10-12,2025-10-21,3073
BATCH-2024-00300,4,Camera,105,2024-11-20,2024-12-01,102
BATCH-2026-00301,5,Processor,3447,2026-01-07,2026-01-23,3292
BATCH-2024-00302,42,Processor,1554,2024-11-04,2024-11-22,1490
BATCH-2026-00303,28,Memory,4602,2026-05-09,2026-05-14,4479
BATCH-2025-00304,5,Memory,7404,2025-11-20,2025-11-29,7097
BATCH-2026-00305,11,Memory,5434,2026-03-19,2026-04-04,5006
BATCH-2025-00306,24,Connector,2270,2025-12-18,2025-12-26,2195
BATCH-2024-00307,49,Display,7622,2024-11-19,2024-11-29,7546
BATCH-2024-00308,9,Processor,8249,2024-11-01,2024-11-12,8167
BATCH-2026-00309,43,Display,9879,2026-01-08,2026-01-15,9452
BATCH-2026-00310,23,Battery,8764,2026-08-14,2026-09-03,8068
BATCH-2025-00311,23,Battery,6210,2025-02-26,2025-03-10,6058
BATCH-2024-00312,33,Camera,7374,2024-09-22,2024-10-06,7035
BATCH-2026-00313,20,PCB,3773,2026-02-18,2026-03-02,3592
BATCH-2025-00314,2,Microcontroller,6056,2025-06-16,2025-06-28,5934
BATCH-2026-00315,15,Connector,2660,2026-03-25,2026-03-31,2499
BATCH-2026-00316,42,Battery,3915,2026-03-22,2026-03-31,3876
BATCH-2025-00317,9,Charger,4560,2025-11-03,2025-11-18,4509
BATCH-2024-00318,34,Connector,110,2024-09-24,2024-10-02,106
BATCH-2025-00319,39,Speaker,7804,2025-01-21,2025-02-08,7726
BATCH-2026-00320,45,PCB,4813,2026-05-24,2026-06-12,4708
BATCH-2025-00321,18,Camera,4794,2025-11-19,2025-12-01,4536
BATCH-2026-00322,10,Processor,2219,2026-07-01,2026-07-07,2105
BATCH-2025-00323,6,Connector,5262,2025-01-24,2025-01-30,5001
BATCH-2025-00324,7,Battery,3272,2025-05-26,2025-06-05,3120
BATCH-2025-00325,27,Connector,3488,2025-03-30,2025-04-18,3376
BATCH-2024-00326,31,PCB,8895,2024-10-11,2024-10-30,8096
BATCH-2024-00327,38,Display,603,2024-12-11,2024-12-23,558
BATCH-2026-00328,31,Battery,8539,2026-08-21,2026-09-07,8454
BATCH-2026-00329,35,Memory,1518,2026-09-15,2026-09-27,1469
BATCH-2025-00330,3,Processor,3307,2025-08-25,2025-09-14,3210
BATCH-2025-00331,46,PCB,9257,2025-01-20,2025-02-06,8599
BATCH-2025-00332,49,Memory,4987,2025-04-17,2025-05-07,4827
BATCH-2025-00333,41,Connector,7969,2025-11-18,2025-11-30,7889
BATCH-2026-00334,7,Camera,2012,2026-09-04,2026-09-10,1992
BATCH-2025-00335,2,Power IC,5816,2025-06-06,2025-06-21,5758
BATCH-2025-00336,21,PCB,6368,2025-06-21,2025-07-10,5879
BATCH-2025-00337,37,Connector,7752,2025-05-16,2025-05-25,7674
BATCH-2025-00338,23,Connector,4672,2025-04-18,2025-05-03,4503
BATCH-2025-00339,19,Charger,9706,2025-05-28,2025-06-03,9609
BATCH-2025-00340,19,Charger,1744,2025-09-18,2025-10-04,1674
BATCH-2025-00341,44,Camera,7827,2025-11-02,2025-11-19,7635
BATCH-2026-00342,38,Memory,8286,2026-08-27,2026-09-15,8054
BATCH-2024-00343,6,Speaker,9925,2024-10-26,2024-11-10,9500
BATCH-2026-00344,48,Display,9247,2026-07-22,2026-08-05,8919
BATCH-2026-00345,31,Processor,9364,2026-01-27,2026-02-15,9093
BATCH-2025-00346,29,Charger,7460,2025-01-06,2025-01-24,6855
BATCH-2024-00347,11,Sensor,4576,2024-09-21,2024-10-05,4329
BATCH-2026-00348,40,Fan,8800,2026-09-09,2026-09-19,8712
BATCH-2025-00349,3,Camera,6753,2025-01-13,2025-01-24,6101
BATCH-2025-00350,39,Camera,5411,2025-03-12,2025-04-01,5003
BATCH-2025-00351,40,PCB,8530,2025-02-01,2025-02-20,8310
BATCH-2024-00352,30,Power IC,3807,2024-12-12,2024-12-18,3707
BATCH-2025-00353,26,Sensor,2520,2025-11-04,2025-11-19,2357
BATCH-2026-00354,50,Fan,4307,2026-08-01,2026-08-11,4087
BATCH-2026-00355,7,Display,8824,2026-04-21,2026-04-29,8698
BATCH-2026-00356,42,Speaker,3107,2026-03-05,2026-03-23,3032
BATCH-2025-00357,48,Memory,5114,2025-08-22,2025-09-02,4832
BATCH-2024-00358,35,Power IC,6717,2024-12-09,2024-12-20,6152
BATCH-2025-00359,7,Processor,5854,2025-08-21,2025-09-10,5479
BATCH-2025-00360,27,Sensor,1482,2025-11-11,2025-11-19,1383
BATCH-2026-00361,10,Display,5169,2026-08-10,2026-08-18,5117
BATCH-2025-00362,21,Connector,9747,2025-03-15,2025-03-21,9599
BATCH-2025-00363,50,Fan,8854,2025-12-24,2026-01-03,8573
BATCH-2025-00364,22,Connector,455,2025-02-14,2025-02-27,433
BATCH-2024-00365,24,Microcontroller,6641,2024-10-17,2024-10-25,6571
BATCH-2025-00366,36,Memory,9040,2025-06-28,2025-07-03,8816
BATCH-2024-00367,39,PCB,9125,2024-12-12,2024-12-21,9034
BATCH-2026-00368,3,Microcontroller,1642,2026-02-27,2026-03-12,1550
BATCH-2025-00369,44,Memory,7108,2025-07-04,2025-07-21,7037
BATCH-2025-00370,23,Battery,9691,2025-04-16,2025-04-25,9424
BATCH-2026-00371,26,Charger,2059,2026-08-22,2026-08-30,2038
BATCH-2025-00372,5,Display,7108,2025-10-17,2025-11-04,6954
BATCH-2026-00373,31,PCB,3683,2026-08-07,2026-08-22,3630
