batch_id,supplier_id,component_name,quantity_produced,production_date,received_date,quantity_passed_qc,supplier_name,country,lead_time_days,unit_price,quality_score,failed_units,defect_count,defect_rate,binary_target,days_since_start,month_of_year,quarter,batch_age_days,supplier_mean_defect_rate,supplier_std_defect_rate,supplier_num_batches,supplier_total_units,component_defect_rate
BATCH-2025-00026,19,Motherboard,7493,2025-06-22,2025-07-01,6946,Sumitomo,USA,36,238.9,64,1,1,0.00013345789403443215,1,277,6,2,453,0.00016876737493119937,0.00039378300837730447,91,458378,0.0002354934172429249
BATCH-2024-00027,48,Camera,415,2024-12-16,2024-12-22,398,TE Connectivity,Germany,25,315.88,71,1,0,0.0,0,89,12,4,641,0.000215467021331229,0.0009668394253566584,108,542251,0.00017585459338616095
BATCH-2025-00028,42,Motherboard,1874,2025-06-13,2025-06-27,1787,Acer,Germany,34,85.15,90,0,0,0.0,0,268,6,2,462,5.058942432590356e-05,0.0001440589145000144,106,511239,0.0002354934172429249
BATCH-2026-00029,15,Charger,9981,2026-04-08,2026-04-18,9566,SK Hynix,Taiwan,40,342.16,65,0,0,0.0,0,567,4,2,163,0.00026051175061660777,0.0007352320636847295,93,436297,0.0002259435803313693
BATCH-2026-00030,49,Sensor,1524,2026-08-01,2026-08-06,1509,Coherent,USA,42,45.65,73,1,1,0.0006561679790026247,1,682,8,3,48,0.00034438539861380375,0.0009931063632699735,93,417736,0.00016450590746445605
BATCH-2026-00031,14,Display,277,2026-01-25,2026-02-14,268,STMicroelectronics,South Korea,31,23.81,77,0,0,0.0,0,494,1,1,236,0.0001573864901705702,0.00046936123067953895,91,385139,0.00016919115080672866
BATCH-2026-00032,7,Fan,6973,2026-03-31,2026-04-14,6650,Foxconn,USA,50,411.74,84,0,0,0.0,0,559,3,1,171,0.0003217144075727912,0.0015438669764764946,105,555087,0.00012855165100050963
BATCH-2026-00033,44,PCB,348,2026-02-22,2026-02-28,341,Wistron,South Korea,50,232.01,87,0,0,0.0,0,522,2,1,208,0.00010336577465557791,0.000380745741124954,117,590216,0.0002244207567666141
BATCH-2025-00034,37,Sensor,1325,2025-11-06,2025-11-25,1286,Huawei,USA,60,118.5,92,0,0,0.0,0,414,11,4,316,0.00010426815057621344,0.0003557497462935021,91,442918,0.00016450590746445605
BATCH-2025-00035,49,Charger,1409,2025-09-09,2025-09-22,1395,Coherent,USA,42,45.65,73,0,0,0.0,0,356,9,3,374,0.00034438539861380375,0.0009931063632699735,93,417736,0.0002259435803313693
BATCH-2026-00036,34,Memory,2936,2026-08-20,2026-09-08,2840,Renesas,China,19,153.37,81,1,0,0.0,0,701,8,3,29,0.00020629854890063796,0.000928870183527049,112,540044,0.00013960848603418856
BATCH-2025-00037,30,Memory,1567,2025-12-24,2026-01-11,1506,Western Digital,Germany,16,59.04,65,1,1,0.0006381620931716656,1,462,12,4,268,0.00026662885278630423,0.0008545899187981254,93,459619,0.00013960848603418856
BATCH-2024-00038,6,Motherboard,4249,2024-09-22,2024-10-12,4207,NVIDIA,Germany,38,463.53,74,0,0,0.0,0,4,9,3,726,0.00023377595866623649,0.0009271237760431065,104,528560,0.0002354934172429249
BATCH-2026-00039,10,Microcontroller,7410,2026-04-28,2026-05-09,7166,Panasonic,China,54,316.57,91,1,1,0.0001349527665317139,1,587,4,2,143,0.000144927638474753,0.0007549544377028447,94,435868,0.00013908905895273712
BATCH-2026-00040,24,PCB,276,2026-01-15,2026-01-21,262,Qualcomm,Germany,53,145.59,74,0,0,0.0,0,484,1,1,246,0.00017211444124561363,0.00048508112533674527,88,458321,0.0002244207567666141
BATCH-2025-00041,13,PCB,4684,2025-03-06,2025-03-16,4466,Onsemi,USA,46,98.93,89,2,2,0.0004269854824935952,1,169,3,1,561,0.00013306539717335389,0.0004888825988608853,89,428711,0.0002244207567666141
BATCH-2026-00042,27,Microcontroller,8691,2026-03-21,2026-04-04,8403,Infineon,Taiwan,51,333.1,89,0,0,0.0,0,549,3,1,181,0.00011089276239704126,0.00035581711278072977,111,553940,0.00013908905895273712
BATCH-2025-00043,6,Connector,9273,2025-07-25,2025-07-31,8556,NVIDIA,Germany,38,463.53,74,0,0,0.0,0,310,7,3,420,0.00023377595866623649,0.0009271237760431065,104,528560,0.00020757696267843906
BATCH-2025-00044,33,Camera,4594,2025-10-10,2025-10-18,4334,Denso,Taiwan,41,277.68,84,2,1,0.00021767522855898998,1,387,10,4,343,0.00013528007016307464,0.0006519489677036868,119,602071,0.00017585459338616095
BATCH-2026-00045,50,Motherboard,8425,2026-05-07,2026-05-27,7821,APC,South Korea,30,481.03,64,0,0,0.0,0,596,5,2,134,0.0002753509047441992,0.0007401953979905162,113,559124,0.0002354934172429249
BATCH-2025-00046,6,Sensor,5985,2025-06-06,2025-06-13,5925,NVIDIA,Germany,38,463.53,74,0,0,0.0,0,261,6,2,469,0.00023377595866623649,0.0009271237760431065,104,528560,0.00016450590746445605
BATCH-2025-00047,16,Charger,9242,2025-01-01,2025-01-20,9150,Hitachi,China,57,483.82,88,0,0,0.0,0,105,1,1,625,8.336477286677332e-05,0.0004697935134049564,95,503392,0.0002259435803313693
BATCH-2025-00048,47,Battery,2919,2025-11-13,2025-11-20,2726,Molex,Japan,37,191.75,76,0,0,0.0,0,421,11,4,309,0.00015063481442028842,0.00045023343696729267,102,507171,0.00021173401481822628
BATCH-2024-00049,28,Processor,7120,2024-10-28,2024-11-05,6860,Kioxia,China,36,390.8,86,0,0,0.0,0,40,10,4,690,6.548471380186631e-05,0.00020932699508353792,108,509896,0.0001723848232239575
BATCH-2025-00050,9,Sensor,5952,2025-09-29,2025-10-14,5814,Sony,Taiwan,19,33.78,81,1,1,0.00016801075268817206,1,376,9,3,354,0.00014132799993781594,0.00029553061545999206,104,509780,0.00016450590746445605
BATCH-2025-00051,42,Charger,9846,2025-09-21,2025-10-07,9481,Acer,Germany,34,85.15,90,2,2,0.00020312817387771684,1,368,9,3,362,5.058942432590356e-05,0.0001440589145000144,106,511239,0.0002259435803313693
BATCH-2025-00052,44,Memory,530,2025-09-12,2025-09-19,525,Wistron,South Korea,50,232.01,87,0,0,0.0,0,359,9,3,371,0.00010336577465557791,0.000380745741124954,117,590216,0.00013960848603418856
BATCH-2025-00053,12,Camera,6462,2025-11-08,2025-11-28,6251,Amphenol,Germany,18,446.77,96,0,0,0.0,0,416,11,4,314,8.015372036339901e-05,0.00041034141517753633,113,576135,0.00017585459338616095
BATCH-2026-00054,21,Processor,3799,2026-07-25,2026-08-07,3573,Jabil,Taiwan,58,416.67,76,0,0,0.0,0,675,7,3,55,0.00034128023110612925,0.0012045823376322067,117,579869,0.0001723848232239575
BATCH-2024-00055,5,PCB,1156,2024-10-25,2024-11-05,1057,Apple,Japan,38,226.29,64,0,0,0.0,0,37,10,4,693,0.00029304167774806515,0.0010333897385835877,92,488005,0.0002244207567666141
BATCH-2026-00056,47,PCB,8452,2026-04-25,2026-05-14,7950,Molex,Japan,37,191.75,76,0,0,0.0,0,584,4,2,146,0.00015063481442028842,0.00045023343696729267,102,507171,0.0002244207567666141
BATCH-2026-00057,17,PCB,5836,2026-04-10,2026-04-25,5588,Mitsubishi,Japan,33,186.49,72,0,0,0.0,0,569,4,2,161,0.00014815223187369047,0.00046308585294764547,114,569061,0.0002244207567666141
BATCH-2026-00058,33,Motherboard,1432,2026-05-14,2026-05-27,1403,Denso,Taiwan,41,277.68,84,0,0,0.0,0,603,5,2,127,0.00013528007016307464,0.0006519489677036868,119,602071,0.0002354934172429249
BATCH-2025-00059,49,Fan,8354,2025-08-21,2025-09-07,8104,Coherent,USA,42,45.65,73,3,3,0.0003591094086665071,1,337,8,3,393,0.00034438539861380375,0.0009931063632699735,93,417736,0.00012855165100050963
BATCH-2024-00060,20,Camera,2738,2024-11-01,2024-11-08,2512,Delta Electronics,South Korea,30,335.57,68,2,0,0.0,0,44,11,4,686,0.00014552538396359592,0.00035285670745256997,82,427248,0.00017585459338616095
BATCH-2025-00061,9,Connector,6081,2025-03-06,2025-03-16,6020,Sony,Taiwan,19,33.78,81,1,0,0.0,0,169,3,1,561,0.00014132799993781594,0.00029553061545999206,104,509780,0.00020757696267843906
BATCH-2025-00062,19,Motherboard,3342,2025-07-31,2025-08-11,3112,Sumitomo,USA,36,238.9,64,1,1,0.0002992220227408737,1,316,7,3,414,0.00016876737493119937,0.00039378300837730447,91,458378,0.0002354934172429249
BATCH-2026-00063,12,Charger,7949,2026-08-11,2026-08-26,7870,Amphenol,Germany,18,446.77,96,0,0,0.0,0,692,8,3,38,8.015372036339901e-05,0.00041034141517753633,113,576135,0.0002259435803313693
BATCH-2025-00064,46,Motherboard,3351,2025-08-20,2025-09-02,3317,Liteon,China,58,348.77,65,2,1,0.0002984183825723665,1,336,8,3,394,0.000177376316521378,0.0004995509860038717,96,502846,0.0002354934172429249
BATCH-2026-00065,25,Speaker,2103,2026-04-28,2026-05-11,2057,Broadcom,USA,26,71.6,85,2,1,0.00047551117451260106,1,587,4,2,143,9.454505074439549e-05,0.0003137783114627588,84,481980,0.00019289953369198322
BATCH-2025-00066,27,Display,2953,2025-01-25,2025-02-10,2807,Infineon,Taiwan,51,333.1,89,1,0,0.0,0,129,1,1,601,0.00011089276239704126,0.00035581711278072977,111,553940,0.00016919115080672866
BATCH-2026-00067,30,Speaker,5083,2026-06-08,2026-06-27,5021,Western Digital,Germany,16,59.04,65,0,0,0.0,0,628,6,2,102,0.00026662885278630423,0.0008545899187981254,93,459619,0.00019289953369198322
BATCH-2025-00068,7,Power IC,1041,2025-12-15,2025-12-31,1031,Foxconn,USA,50,411.74,84,1,1,0.0009606147934678194,1,453,12,4,277,0.0003217144075727912,0.0015438669764764946,105,555087,0.00017735448108886377
BATCH-2024-00069,27,Microcontroller,7262,2024-12-27,2025-01-16,7023,Infineon,Taiwan,51,333.1,89,1,1,0.00013770311209033325,1,100,12,4,630,0.00011089276239704126,0.00035581711278072977,111,553940,0.00013908905895273712
BATCH-2025-00070,48,Connector,5978,2025-08-08,2025-08-25,5658,TE Connectivity,Germany,25,315.88,71,0,0,0.0,0,324,8,3,406,0.000215467021331229,0.0009668394253566584,108,542251,0.00020757696267843906
BATCH-2025-00071,47,Microcontroller,992,2025-03-21,2025-04-06,944,Molex,Japan,37,191.75,76,0,0,0.0,0,184,3,1,546,0.00015063481442028842,0.00045023343696729267,102,507171,0.00013908905895273712
BATCH-2025-00072,30,Memory,6200,2025-01-18,2025-01-25,6122,Western Digital,Germany,16,59.04,65,1,1,0.00016129032258064516,1,122,1,1,608,0.00026662885278630423,0.0008545899187981254,93,459619,0.00013960848603418856
BATCH-2025-00073,1,Power IC,4812,2025-08-24,2025-09-08,4725,Samsung,USA,19,220.56,89,1,0,0.0,0,340,8,3,390,0.00017219294545324894,0.0013891588805521986,106,504263,0.00017735448108886377
BATCH-2025-00074,27,Fan,8013,2025-09-30,2025-10-12,7440,Infineon,Taiwan,51,333.1,89,0,0,0.0,0,377,9,3,353,0.00011089276239704126,0.00035581711278072977,111,553940,0.00012855165100050963
BATCH-2024-00075,7,Microcontroller,8466,2024-12-14,2024-12-31,8381,Foxconn,USA,50,411.74,84,2,1,0.00011811953697141507,0,87,12,4,643,0.0003217144075727912,0.0015438669764764946,105,555087,0.00013908905895273712
BATCH-2026-00076,6,Sensor,6613,2026-03-04,2026-03-15,6298,NVIDIA,Germany,38,463.53,74,0,0,0.0,0,532,3,1,198,0.00023377595866623649,0.0009271237760431065,104,528560,0.00016450590746445605
BATCH-2025-00077,11,Speaker,7333,2025-05-19,2025-06-04,7223,Murata,Japan,22,178.55,88,1,1,0.00013636983499249966,1,243,5,2,487,0.00015599689945027513,0.0009387029695731565,105,551463,0.00019289953369198322
BATCH-2026-00078,45,Power IC,2778,2026-04-21,2026-05-01,2655,Pegatron,Taiwan,47,251.52,66,2,1,0.0003599712023038157,1,580,4,2,150,0.0001275169517997213,0.0003266025273992103,94,477190,0.00017735448108886377
BATCH-2025-00079,16,Battery,9617,2025-01-03,2025-01-09,9162,Hitachi,China,57,483.82,88,0,0,0.0,0,107,1,1,623,8.336477286677332e-05,0.0004697935134049564,95,503392,0.00021173401481822628
BATCH-2024-00080,47,Motherboard,3895,2024-12-20,2025-01-05,3700,Molex,Japan,37,191.75,76,1,1,0.00025673940949935817,1,93,12,4,637,0.00015063481442028842,0.00045023343696729267,102,507171,0.0002354934172429249
BATCH-2026-00081,48,Microcontroller,3672,2026-04-10,2026-04-24,3540,TE Connectivity,Germany,25,315.88,71,2,2,0.0005446623093681918,1,569,4,2,161,0.000215467021331229,0.0009668394253566584,108,542251,0.00013908905895273712
BATCH-2024-00082,24,Speaker,9868,2024-09-21,2024-10-07,9746,Qualcomm,Germany,53,145.59,74,3,2,0.00020267531414673692,1,3,9,3,727,0.00017211444124561363,0.00048508112533674527,88,458321,0.00019289953369198322
BATCH-2026-00083,22,Display,2782,2026-05-31,2026-06-19,2580,Flex,China,43,157.56,86,1,1,0.0003594536304816679,1,620,5,2,110,6.527455789884103e-05,0.00021075148645526503,94,530055,0.00016919115080672866
BATCH-2024-00084,32,Sensor,5924,2024-10-11,2024-10-26,5779,Canon,South Korea,54,382.97,81,2,1,0.00016880486158001352,1,23,10,4,707,8.286140374041643e-05,0.0002525478149158471,93,484783,0.00016450590746445605
BATCH-2026-00085,5,Sensor,7254,2026-05-13,2026-05-24,6656,Apple,Japan,38,226.29,64,1,1,0.00013785497656465398,1,602,5,2,128,0.00029304167774806515,0.0010333897385835877,92,488005,0.00016450590746445605
BATCH-2024-00086,15,Charger,4479,2024-09-26,2024-10-05,4352,SK Hynix,Taiwan,40,342.16,65,0,0,0.0,0,8,9,3,722,0.00026051175061660777,0.0007352320636847295,93,436297,0.0002259435803313693
BATCH-2024-00087,37,Motherboard,5495,2024-12-07,2024-12-18,5408,Huawei,USA,60,118.5,92,0,0,0.0,0,80,12,4,650,0.00010426815057621344,0.0003557497462935021,91,442918,0.0002354934172429249
BATCH-2026-00088,50,Speaker,2910,2026-04-08,2026-04-26,2838,APC,South Korea,30,481.03,64,4,2,0.0006872852233676976,1,567,4,2,163,0.0002753509047441992,0.0007401953979905162,113,559124,0.00019289953369198322
BATCH-2026-00089,34,Microcontroller,337,2026-01-16,2026-01-23,334,Renesas,China,19,153.37,81,0,0,0.0,0,485,1,1,245,0.00020629854890063796,0.000928870183527049,112,540044,0.00013908905895273712
BATCH-2026-00090,33,Speaker,8981,2026-06-10,2026-06-15,8604,Denso,Taiwan,41,277.68,84,0,0,0.0,0,630,6,2,100,0.00013528007016307464,0.0006519489677036868,119,602071,0.00019289953369198322
BATCH-2026-00091,23,Battery,8558,2026-04-08,2026-04-25,8319,ASE,Japan,50,402.77,91,0,0,0.0,0,567,4,2,163,6.663525433902222e-05,0.00015954052120490043,90,441864,0.00021173401481822628
BATCH-2026-00092,10,Charger,6597,2026-07-13,2026-07-18,6458,Panasonic,China,54,316.57,91,0,0,0.0,0,663,7,3,67,0.000144927638474753,0.0007549544377028447,94,435868,0.0002259435803313693
BATCH-2025-00093,8,Processor,8218,2025-12-04,2025-12-24,7654,LG Chem,South Korea,40,115.16,76,0,0,0.0,0,442,12,4,288,0.00013285380642027623,0.00028745834951003884,92,477433,0.0001723848232239575
BATCH-2025-00094,41,Charger,8509,2025-03-15,2025-03-20,8424,HP,Japan,60,204.38,85,2,1,0.0001175226231049477,0,178,3,1,552,0.00012231852387452777,0.00025339821295037224,87,408153,0.0002259435803313693
BATCH-2026-00095,49,Fan,1290,2026-04-04,2026-04-22,1277,Coherent,USA,42,45.65,73,0,0,0.0,0,563,4,2,167,0.00034438539861380375,0.0009931063632699735,93,417736,0.00012855165100050963
BATCH-2025-00096,35,Sensor,497,2025-08-17,2025-08-25,491,Nokia,Japan,42,219.49,61,1,0,0.0,0,333,8,3,397,0.00019787338089100073,0.0003538789829112609,102,503406,0.00016450590746445605
BATCH-2026-00097,28,Power IC,951,2026-06-01,2026-06-13,894,Kioxia,China,36,390.8,86,1,1,0.0010515247108307045,1,621,6,2,109,6.548471380186631e-05,0.00020932699508353792,108,509896,0.00017735448108886377
BATCH-2024-00098,8,Processor,2011,2024-09-29,2024-10-08,1988,LG Chem,South Korea,40,115.16,76,1,1,0.0004972650422675286,1,11,9,3,719,0.00013285380642027623,0.00028745834951003884,92,477433,0.0001723848232239575
BATCH-2025-00099,27,Microcontroller,7520,2025-12-08,2025-12-21,7175,Infineon,Taiwan,51,333.1,89,0,0,0.0,0,446,12,4,284,0.00011089276239704126,0.00035581711278072977,111,553940,0.00013908905895273712
BATCH-2025-00100,3,Processor,519,2025-02-24,2025-03-15,473,Corning,Taiwan,24,487.86,63,1,1,0.0019267822736030828,1,159,2,1,571,0.0005290924687400791,0.0022824547846740364,105,511267,0.0001723848232239575
BATCH-2024-00101,21,Battery,3774,2024-11-23,2024-12-10,3554,Jabil,Taiwan,58,416.67,76,3,2,0.0005299417064122947,1,66,11,4,664,0.00034128023110612925,0.0012045823376322067,117,579869,0.00021173401481822628
BATCH-2025-00102,10,Power IC,4640,2025-10-19,2025-11-05,4534,Panasonic,China,54,316.57,91,0,0,0.0,0,396,10,4,334,0.000144927638474753,0.0007549544377028447,94,435868,0.00017735448108886377
BATCH-2025-00103,44,Power IC,4521,2025-01-01,2025-01-09,4384,Wistron,South Korea,50,232.01,87,0,0,0.0,0,105,1,1,625,0.00010336577465557791,0.000380745741124954,117,590216,0.00017735448108886377
BATCH-2025-00104,48,Connector,5822,2025-10-15,2025-10-31,5564,TE Connectivity,Germany,25,315.88,71,2,1,0.00017176228100309173,1,392,10,4,338,0.000215467021331229,0.0009668394253566584,108,542251,0.00020757696267843906
BATCH-2025-00105,23,Microcontroller,1663,2025-01-04,2025-01-16,1646,ASE,Japan,50,402.77,91,1,1,0.0006013229104028864,1,108,1,1,622,6.663525433902222e-05,0.00015954052120490043,90,441864,0.00013908905895273712
BATCH-2024-00106,26,Fan,4794,2024-12-21,2024-12-27,4612,Texas Instruments,South Korea,53,5.67,67,0,0,0.0,0,94,12,4,636,0.0002658174764162671,0.0009122443285503541,102,493376,0.00012855165100050963
BATCH-2025-00107,48,Camera,1024,2025-04-28,2025-05-12,996,TE Connectivity,Germany,25,315.88,71,0,0,0.0,0,222,4,2,508,0.000215467021331229,0.0009668394253566584,108,542251,0.00017585459338616095
BATCH-2026-00108,22,Connector,6383,2026-08-28,2026-09-08,6106,Flex,China,43,157.56,86,1,1,0.00015666614444618518,1,709,8,3,21,6.527455789884103e-05,0.00021075148645526503,94,530055,0.00020757696267843906
BATCH-2025-00109,43,Camera,9497,2025-11-21,2025-12-05,8951,ASUSTeK,USA,30,46.84,60,1,0,0.0,0,429,11,4,301,0.00044469895714356904,0.0012463320250862553,87,411235,0.00017585459338616095
BATCH-2025-00110,16,Charger,4242,2025-09-01,2025-09-13,4200,Hitachi,China,57,483.82,88,0,0,0.0,0,348,9,3,382,8.336477286677332e-05,0.0004697935134049564,95,503392,0.0002259435803313693
BATCH-2025-00111,5,Power IC,3573,2025-11-05,2025-11-19,3396,Apple,Japan,38,226.29,64,1,1,0.000279876854184159,1,413,11,4,317,0.00029304167774806515,0.0010333897385835877,92,488005,0.00017735448108886377
BATCH-2025-00112,36,Power IC,6559,2025-12-12,2025-12-22,6249,Ericsson,Germany,60,205.45,68,4,3,0.00045738679676779996,1,450,12,4,280,0.00016582352511078637,0.0003750099810004351,109,536222,0.00017735448108886377
BATCH-2025-00113,18,Memory,2050,2025-07-29,2025-08-11,2030,Bosch,Germany,18,96.36,77,0,0,0.0,0,314,7,3,416,0.00021806730730221415,0.0007021012099867912,110,557568,0.00013960848603418856
BATCH-2026-00114,32,Microcontroller,5176,2026-05-01,2026-05-17,5048,Canon,South Korea,54,382.97,81,0,0,0.0,0,590,5,2,140,8.286140374041643e-05,0.0002525478149158471,93,484783,0.00013908905895273712
BATCH-2025-00115,7,Fan,8518,2025-09-20,2025-10-06,8144,Foxconn,USA,50,411.74,84,0,0,0.0,0,367,9,3,363,0.0003217144075727912,0.0015438669764764946,105,555087,0.00012855165100050963
BATCH-2025-00116,27,Camera,3213,2025-10-02,2025-10-20,3181,Infineon,Taiwan,51,333.1,89,0,0,0.0,0,379,10,4,351,0.00011089276239704126,0.00035581711278072977,111,553940,0.00017585459338616095
BATCH-2024-00117,44,PCB,8237,2024-10-28,2024-11-03,8152,Wistron,South Korea,50,232.01,87,0,0,0.0,0,40,10,4,690,0.00010336577465557791,0.000380745741124954,117,590216,0.0002244207567666141
BATCH-2026-00118,15,Sensor,1812,2026-03-05,2026-03-15,1654,SK Hynix,Taiwan,40,342.16,65,0,0,0.0,0,533,3,1,197,0.00026051175061660777,0.0007352320636847295,93,436297,0.00016450590746445605
BATCH-2026-00119,46,Processor,4423,2026-05-14,2026-05-30,4379,Liteon,China,58,348.77,65,1,1,0.00022609088853719196,1,603,5,2,127,0.000177376316521378,0.0004995509860038717,96,502846,0.0001723848232239575
BATCH-2025-00120,43,Speaker,1620,2025-03-11,2025-03-25,1485,ASUSTeK,USA,30,46.84,60,1,1,0.0006172839506172839,1,174,3,1,556,0.00044469895714356904,0.0012463320250862553,87,411235,0.00019289953369198322
BATCH-2026-00121,26,Connector,5067,2026-08-18,2026-08-24,4921,Texas Instruments,South Korea,53,5.67,67,3,2,0.00039471087428458656,1,699,8,3,31,0.0002658174764162671,0.0009122443285503541,102,493376,0.00020757696267843906
BATCH-2026-00122,50,Connector,3178,2026-04-03,2026-04-19,2919,APC,South Korea,30,481.03,64,0,0,0.0,0,562,4,2,168,0.0002753509047441992,0.0007401953979905162,113,559124,0.00020757696267843906
BATCH-2025-00123,38,Connector,9264,2025-12-29,2026-01-08,9038,Xiaomi,South Korea,52,142.13,62,0,0,0.0,0,467,12,4,263,0.0002941454324685746,0.0007248486269555904,106,537180,0.00020757696267843906
