unit_id,batch_id,checkpoint_id,checkpoint_name,result,tested_date,tester_id
UNIT-00029,BATCH-2025-00002,7,Thermal,Pass,2025-04-17,TEST012
UNIT-00030,BATCH-2025-00002,8,Final,Pass,2025-04-19,TEST003
UNIT-00031,BATCH-2025-00002,2,Camera,Pass,2025-04-18,TEST030
UNIT-00032,BATCH-2025-00002,7,Thermal,Pass,2025-04-16,TEST037
UNIT-00033,BATCH-2024-00003,4,Battery,Pass,2024-12-16,TEST050
UNIT-00034,BATCH-2024-00003,7,Thermal,Pass,2024-12-14,TEST040
UNIT-00035,BATCH-2024-00003,6,Connectivity,Pass,2024-12-15,TEST030
UNIT-00036,BATCH-2024-00003,4,Battery,Pass,2024-12-13,TEST042
UNIT-00037,BATCH-2024-00003,8,Final,Pass,2024-12-13,TEST013
UNIT-00038,BATCH-2024-00003,2,Camera,Pass,2024-12-15,TEST019
UNIT-00039,BATCH-2024-00003,5,Screen,Pass,2024-12-14,TEST029
UNIT-00040,BATCH-2024-00003,4,Battery,Pass,2024-12-10,TEST028
UNIT-00041,BATCH-2024-00003,4,Battery,Pass,2024-12-16,TEST005
UNIT-00042,BATCH-2024-00003,4,Battery,Pass,2024-12-10,TEST021
UNIT-00043,BATCH-2026-00004,1,Electrical,Pass,2026-03-08,TEST045
UNIT-00044,BATCH-2026-00004,2,Camera,Pass,2026-03-14,TEST042
UNIT-00045,BATCH-2026-00004,5,Screen,Pass,2026-03-07,TEST023
UNIT-00046,BATCH-2026-00004,4,Battery,Pass,2026-03-08,TEST004
UNIT-00047,BATCH-2026-00004,1,Electrical,Pass,2026-03-10,TEST022
UNIT-00048,BATCH-2026-00004,5,Screen,Pass,2026-03-12,TEST019
UNIT-00049,BATCH-2026-00004,2,Camera,Pass,2026-03-14,TEST025
UNIT-00050,BATCH-2026-00004,1,Electrical,Pass,2026-03-13,TEST024
UNIT-00051,BATCH-2026-00004,1,Electrical,Pass,2026-03-12,TEST036
UNIT-00052,BATCH-2026-00004,2,Camera,Pass,2026-03-08,TEST015
UNIT-00053,BATCH-2026-00004,2,Camera,Pass,2026-03-12,TEST021
UNIT-00054,BATCH-2026-00004,1,Electrical,Pass,2026-03-09,TEST044
UNIT-00055,BATCH-2026-00004,6,Connectivity,Pass,2026-03-13,TEST004
UNIT-00056,BATCH-2026-00004,5,Screen,Pass,2026-03-14,TEST030
UNIT-00057,BATCH-2026-00005,1,Electrical,Pass,2026-06-11,TEST026
UNIT-00058,BATCH-2026-00005,7,Thermal,Pass,2026-06-15,TEST046
UNIT-00059,BATCH-2026-00005,6,Connectivity,Pass,2026-06-12,TEST010
UNIT-00060,BATCH-2026-00005,1,Electrical,Pass,2026-06-10,TEST004
UNIT-00061,BATCH-2026-00005,5,Screen,Pass,2026-06-17,TEST026
UNIT-00062,BATCH-2026-00005,4,Battery,Pass,2026-06-14,TEST017
UNIT-00063,BATCH-2026-00005,8,Final,Pass,2026-06-14,TEST034
UNIT-00064,BATCH-2026-00005,4,Battery,Pass,2026-06-13,TEST041
UNIT-00065,BATCH-2026-00005,5,Screen,Pass,2026-06-15,TEST001
UNIT-00066,BATCH-2026-00005,4,Battery,Pass,2026-06-13,TEST021
UNIT-00067,BATCH-2026-00005,7,Thermal,Pass,2026-06-17,TEST039
UNIT-00068,BATCH-2026-00005,2,Camera,Pass,2026-06-17,TEST048
UNIT-00069,BATCH-2026-00005,2,Camera,Pass,2026-06-11,TEST009
UNIT-00070,BATCH-2026-00005,4,Battery,Pass,2026-06-17,TEST025
UNIT-00071,BATCH-2025-00006,5,Screen,Pass,2025-05-17,TEST042
UNIT-00072,BATCH-2025-00006,1,Electrical,Pass,2025-05-21,TEST033
UNIT-00073,BATCH-2025-00006,4,Battery,Pass,2025-05-22,TEST019
UNIT-00074,BATCH-2025-00006,7,Thermal,Pass,2025-05-21,TEST013
UNIT-00075,BATCH-2025-00006,1,Electrical,Pass,2025-05-23,TEST001
UNIT-00076,BATCH-2025-00006,4,Battery,Pass,2025-05-17,TEST020
UNIT-00077,BATCH-2025-00006,1,Electrical,Pass,2025-05-20,TEST004
UNIT-00078,BATCH-2025-00006,2,Camera,Fail,2025-05-22,TEST047
UNIT-00079,BATCH-2025-00006,6,Connectivity,Fail,2025-05-19,TEST046
UNIT-00080,BATCH-2025-00006,4,Battery,Pass,2025-05-19,TEST046
UNIT-00081,BATCH-2025-00006,1,Electrical,Pass,2025-05-21,TEST010
UNIT-00082,BATCH-2025-00006,4,Battery,Pass,2025-05-16,TEST005
UNIT-00083,BATCH-2025-00006,1,Electrical,Pass,2025-05-23,TEST040
UNIT-00084,BATCH-2025-00006,4,Battery,Pass,2025-05-19,TEST033
UNIT-00085,BATCH-2025-00006,5,Screen,Pass,2025-05-19,TEST047
UNIT-00086,BATCH-2025-00006,5,Screen,Pass,2025-05-17,TEST001
UNIT-00087,BATCH-2025-00006,5,Screen,Pass,2025-05-17,TEST016
UNIT-00088,BATCH-2025-00006,7,Thermal,Pass,2025-05-16,TEST027
UNIT-00089,BATCH-2024-00007,6,Connectivity,Fail,2024-12-12,TEST038
UNIT-00090,BATCH-2024-00007,7,Thermal,Pass,2024-12-06,TEST022
UNIT-00091,BATCH-2024-00007,5,Screen,Pass,2024-12-12,TEST015
UNIT-00092,BATCH-2024-00007,6,Connectivity,Fail,2024-12-10,TEST039
UNIT-00093,BATCH-2024-00007,4,Battery,Pass,2024-12-09,TEST015
UNIT-00094,BATCH-2024-00007,8,Final,Pass,2024-12-08,TEST046
UNIT-00095,BATCH-2024-00007,8,Final,Pass,2024-12-08,TEST043
UNIT-00096,BATCH-2024-00007,8,Final,Pass,2024-12-07,TEST016
UNIT-00097,BATCH-2024-00007,4,Battery,Pass,2024-12-05,TEST009
UNIT-00098,BATCH-2024-00007,5,Screen,Pass,2024-12-08,TEST044
UNIT-00099,BATCH-2024-00007,7,Thermal,Pass,2024-12-12,TEST020
UNIT-00100,BATCH-2024-00007,5,Screen,Fail,2024-12-07,TEST044
UNIT-00101,BATCH-2024-00007,5,Screen,Fail,2024-12-05,TEST023
UNIT-00102,BATCH-2025-00008,5,Screen,Pass,2025-02-17,TEST033
UNIT-00103,BATCH-2025-00008,6,Connectivity,Pass,2025-02-14,TEST043
UNIT-00104,BATCH-2025-00008,3,Speaker,Pass,2025-02-17,TEST044
UNIT-00105,BATCH-2025-00008,7,Thermal,Pass,2025-02-12,TEST033
UNIT-00106,BATCH-2025-00008,6,Connectivity,Pass,2025-02-19,TEST008
UNIT-00107,BATCH-2025-00008,2,Camera,Pass,2025-02-12,TEST043
UNIT-00108,BATCH-2025-00008,5,Screen,Pass,2025-02-14,TEST016
UNIT-00109,BATCH-2025-00008,5,Screen,Pass,2025-02-13,TEST031
UNIT-00110,BATCH-2025-00008,8,Final,Pass,2025-02-18,TEST044
UNIT-00111,BATCH-2025-00008,6,Connectivity,Pass,2025-02-18,TEST012
UNIT-00112,BATCH-2025-00008,4,Battery,Pass,2025-02-16,TEST006
UNIT-00113,BATCH-2025-00008,2,Camera,Pass,2025-02-18,TEST003
UNIT-00114,BATCH-2025-00008,4,Battery,Pass,2025-02-18,TEST004
UNIT-00115,BATCH-2025-00008,8,Final,Pass,2025-02-16,TEST020
UNIT-00116,BATCH-2025-00009,4,Battery,Pass,2025-12-09,TEST045
UNIT-00117,BATCH-2025-00009,5,Screen,Pass,2025-12-13,TEST048
UNIT-00118,BATCH-2025-00009,6,Connectivity,Pass,2025-12-07,TEST047
UNIT-00119,BATCH-2025-00009,5,Screen,Pass,2025-12-11,TEST037
UNIT-00120,BATCH-2025-00009,5,Screen,Pass,2025-12-12,TEST014
UNIT-00121,BATCH-2025-00009,6,Connectivity,Pass,2025-12-14,TEST049
UNIT-00122,BATCH-2025-00009,8,Final,Pass,2025-12-13,TEST001
UNIT-00123,BATCH-2025-00009,3,Speaker,Pass,2025-12-11,TEST019
UNIT-00124,BATCH-2025-00009,7,Thermal,Pass,2025-12-14,TEST005
UNIT-00125,BATCH-2025-00009,6,Connectivity,Pass,2025-12-14,TEST019
UNIT-00126,BATCH-2025-00009,3,Speaker,Pass,2025-12-10,TEST007
UNIT-00127,BATCH-2025-00009,4,Battery,Pass,2025-12-07,TEST011
UNIT-00128,BATCH-2025-00009,5,Screen,Pass,2025-12-11,TEST047
UNIT-00129,BATCH-2025-00010,2,Camera,Pass,2025-08-27,TEST027
UNIT-00130,BATCH-2025-00010,1,Electrical,Pass,2025-08-22,TEST004
UNIT-00131,BATCH-2025-00010,7,Thermal,Pass,2025-08-23,TEST042
UNIT-00132,BATCH-2025-00010,7,Thermal,Pass,2025-08-27,TEST001
UNIT-00133,BATCH-2025-00010,7,Thermal,Pass,2025-08-26,TEST010
UNIT-00134,BATCH-2025-00010,6,Connectivity,Pass,2025-08-22,TEST009
UNIT-00135,BATCH-2025-00010,8,Final,Pass,2025-08-24,TEST023
UNIT-00136,BATCH-2025-00010,3,Speaker,Pass,2025-08-25,TEST048
UNIT-00137,BATCH-2025-00010,2,Camera,Pass,2025-08-22,TEST023
UNIT-00138,BATCH-2025-00010,4,Battery,Pass,2025-08-23,TEST022
UNIT-00139,BATCH-2025-00010,7,Thermal,Pass,2025-08-23,TEST043
UNIT-00140,BATCH-2025-00010,8,Final,Pass,2025-08-25,TEST031
UNIT-00141,BATCH-2025-00010,7,Thermal,Pass,2025-08-27,TEST004
UNIT-00142,BATCH-2025-00010,8,Final,Pass,2025-08-22,TEST012
UNIT-00143,BATCH-2026-00011,4,Battery,Pass,2026-09-01,TEST045
UNIT-00144,BATCH-2026-00011,7,Thermal,Pass,2026-09-01,TEST018
UNIT-00145,BATCH-2026-00011,8,Final,Pass,2026-09-01,TEST026
UNIT-00146,BATCH-2026-00011,2,Camera,Pass,2026-08-29,TEST027
UNIT-00147,BATCH-2026-00011,2,Camera,Pass,2026-09-04,TEST003
UNIT-00148,BATCH-2026-00011,4,Battery,Pass,2026-09-02,TEST008
UNIT-00149,BATCH-2026-00011,3,Speaker,Pass,2026-09-01,TEST050
UNIT-00150,BATCH-2026-00011,6,Connectivity,Pass,2026-09-02,TEST023
UNIT-00151,BATCH-2026-00011,6,Connectivity,Pass,2026-09-02,TEST027
UNIT-00152,BATCH-2026-00011,6,Connectivity,Fail,2026-09-01,TEST034
UNIT-00153,BATCH-2026-00011,8,Final,Pass,2026-08-31,TEST013
UNIT-00154,BATCH-2026-00011,1,Electrical,Pass,2026-08-29,TEST007
UNIT-00155,BATCH-2026-00011,3,Speaker,Pass,2026-08-31,TEST036
UNIT-00156,BATCH-2026-00011,6,Connectivity,Pass,2026-08-29,TEST026
UNIT-00157,BATCH-2026-00011,1,Electrical,Pass,2026-08-30,TEST035
UNIT-00158,BATCH-2026-00011,5,Screen,Pass,2026-08-30,TEST013
UNIT-00159,BATCH-2026-00011,7,Thermal,Pass,2026-09-05,TEST024
UNIT-00160,BATCH-2026-00011,5,Screen,Pass,2026-08-30,TEST010
UNIT-00161,BATCH-2025-00012,6,Connectivity,Pass,2025-04-26,TEST019
UNIT-00162,BATCH-2025-00012,3,Speaker,Fail,2025-04-24,TEST025
UNIT-00163,BATCH-2025-00012,4,Battery,Pass,2025-04-21,TEST047
UNIT-00164,BATCH-2025-00012,4,Battery,Fail,2025-04-21,TEST005
UNIT-00165,BATCH-2025-00012,5,Screen,Pass,2025-04-25,TEST015
UNIT-00166,BATCH-2025-00012,7,Thermal,Pass,2025-04-20,TEST043
UNIT-00167,BATCH-2025-00012,3,Speaker,Pass,2025-04-25,TEST048
UNIT-00168,BATCH-2025-00012,2,Camera,Pass,2025-04-24,TEST018
UNIT-00169,BATCH-2025-00012,8,Final,Pass,2025-04-22,TEST004
UNIT-00170,BATCH-2025-00012,6,Connectivity,Pass,2025-04-22,TEST049
UNIT-00171,BATCH-2025-00012,3,Speaker,Pass,2025-04-22,TEST007
UNIT-00172,BATCH-2025-00012,6,Connectivity,Fail,2025-04-24,TEST039
UNIT-00173,BATCH-2025-00012,3,Speaker,Pass,2025-04-21,TEST030
UNIT-00174,BATCH-2025-00012,8,Final,Pass,2025-04-22,TEST041
UNIT-00175,BATCH-2025-00012,1,Electrical,Pass,2025-04-25,TEST018
UNIT-00176,BATCH-2025-00013,7,Thermal,Pass,2025-11-23,TEST019
UNIT-00177,BATCH-2025-00013,4,Battery,Pass,2025-11-22,TEST039
UNIT-00178,BATCH-2025-00013,4,Battery,Pass,2025-11-22,TEST043
UNIT-00179,BATCH-2025-00013,2,Camera,Pass,2025-11-25,TEST047
UNIT-00180,BATCH-2025-00013,5,Screen,Pass,2025-11-22,TEST032
UNIT-00181,BATCH-2025-00013,4,Battery,Pass,2025-11-23,TEST005
UNIT-00182,BATCH-2025-00013,5,Screen,Pass,2025-11-23,TEST042
UNIT-00183,BATCH-2025-00013,8,Final,Pass,2025-11-29,TEST026
UNIT-00184,BATCH-2025-00013,2,Camera,Pass,2025-11-25,TEST015
UNIT-00185,BATCH-2025-00013,1,Electrical,Pass,2025-11-25,TEST023
UNIT-00186,BATCH-2025-00013,1,Electrical,Pass,2025-11-29,TEST006
UNIT-00187,BATCH-2025-00013,4,Battery,Pass,2025-11-28,TEST042
UNIT-00188,BATCH-2025-00013,3,Speaker,Pass,2025-11-27,TEST001
UNIT-00189,BATCH-2025-00013,8,Final,Pass,2025-11-24,TEST049
UNIT-00190,BATCH-2025-00014,8,Final,Pass,2025-11-02,TEST008
UNIT-00191,BATCH-2025-00014,5,Screen,Pass,2025-11-08,TEST031
UNIT-00192,BATCH-2025-00014,2,Camera,Pass,2025-11-03,TEST044
UNIT-00193,BATCH-2025-00014,3,Speaker,Pass,2025-11-07,TEST023
UNIT-00194,BATCH-2025-00014,4,Battery,Pass,2025-11-09,TEST034
UNIT-00195,BATCH-2025-00014,7,Thermal,Pass,2025-11-08,TEST030
UNIT-00196,BATCH-2025-00014,8,Final,Pass,2025-11-03,TEST040
UNIT-00197,BATCH-2025-00014,8,Final,Pass,2025-11-02,TEST049
UNIT-00198,BATCH-2025-00014,1,Electrical,Pass,2025-11-08,TEST004
UNIT-00199,BATCH-2025-00014,2,Camera,Pass,2025-11-04,TEST034
UNIT-00200,BATCH-2025-00014,6,Connectivity,Pass,2025-11-06,TEST035
UNIT-00201,BATCH-2025-00014,4,Battery,Pass,2025-11-07,TEST044
UNIT-00202,BATCH-2025-00014,3,Speaker,Pass,2025-11-05,TEST023
UNIT-00203,BATCH-2025-00014,7,Thermal,Pass,2025-11-02,TEST041
UNIT-00204,BATCH-2025-00014,4,Battery,Pass,2025-11-09,TEST040
UNIT-00205,BATCH-2025-00014,1,Electrical,Pass,2025-11-07,TEST036
UNIT-00206,BATCH-2026-00015,8,Final,Pass,2026-05-24,TEST010
UNIT-00207,BATCH-2026-00015,2,Camera,Pass,2026-05-23,TEST044
UNIT-00208,BATCH-2026-00015,7,Thermal,Pass,2026-05-23,TEST025
UNIT-00209,BATCH-2026-00015,3,Speaker,Pass,2026-05-23,TEST011
UNIT-00210,BATCH-2026-00015,6,Connectivity,Pass,2026-05-24,TEST039
UNIT-00211,BATCH-2026-00015,6,Connectivity,Pass,2026-05-23,TEST014
UNIT-00212,BATCH-2026-00015,4,Battery,Pass,2026-05-25,TEST019
UNIT-00213,BATCH-2026-00015,6,Connectivity,Pass,2026-05-22,TEST014
UNIT-00214,BATCH-2026-00015,6,Connectivity,Pass,2026-05-21,TEST050
UNIT-00215,BATCH-2026-00015,2,Camera,Pass,2026-05-20,TEST047
UNIT-00216,BATCH-2026-00015,2,Camera,Pass,2026-05-20,TEST017
UNIT-00217,BATCH-2026-00015,3,Speaker,Pass,2026-05-24,TEST025
UNIT-00218,BATCH-2026-00015,3,Speaker,Pass,2026-05-22,TEST017
UNIT-00219,BATCH-2026-00015,3,Speaker,Pass,2026-05-26,TEST041
UNIT-00220,BATCH-2026-00015,7,Thermal,Pass,2026-05-22,TEST023
UNIT-00221,BATCH-2026-00015,3,Speaker,Pass,2026-05-25,TEST043
UNIT-00222,BATCH-2026-00015,7,Thermal,Pass,2026-05-19,TEST018
UNIT-00223,BATCH-2026-00015,2,Camera,Pass,2026-05-26,TEST025
UNIT-00224,BATCH-2025-00016,8,Final,Pass,2025-05-16,TEST018
UNIT-00225,BATCH-2025-00016,1,Electrical,Pass,2025-05-18,TEST048
UNIT-00226,BATCH-2025-00016,6,Connectivity,Pass,2025-05-14,TEST011
UNIT-00227,BATCH-2025-00016,6,Connectivity,Pass,2025-05-16,TEST039
UNIT-00228,BATCH-2025-00016,6,Connectivity,Pass,2025-05-13,TEST014
UNIT-00229,BATCH-2025-00016,8,Final,Pass,2025-05-15,TEST049
UNIT-00230,BATCH-2025-00016,3,Speaker,Pass,2025-05-13,TEST030
UNIT-00231,BATCH-2025-00016,2,Camera,Pass,2025-05-13,TEST023
UNIT-00232,BATCH-2025-00016,6,Connectivity,Pass,2025-05-13,TEST049
UNIT-00233,BATCH-2025-00016,7,Thermal,Pass,2025-05-14,TEST003
UNIT-00234,BATCH-2025-00016,8,Final,Pass,2025-05-14,TEST041
UNIT-00235,BATCH-2025-00016,5,Screen,Pass,2025-05-15,TEST029
UNIT-00236,BATCH-2025-00016,6,Connectivity,Pass,2025-05-14,TEST028
UNIT-00237,BATCH-2025-00016,5,Screen,Pass,2025-05-14,TEST004
UNIT-00238,BATCH-2025-00016,1,Electrical,Pass,2025-05-12,TEST018
UNIT-00239,BATCH-2025-00016,3,Speaker,Pass,2025-05-19,TEST032
UNIT-00240,BATCH-2026-00017,4,Battery,Pass,2026-02-04,TEST041
UNIT-00241,BATCH-2026-00017,4,Battery,Pass,2026-01-31,TEST002
UNIT-00242,BATCH-2026-00017,6,Connectivity,Pass,2026-02-02,TEST030
UNIT-00243,BATCH-2026-00017,4,Battery,Pass,2026-02-02,TEST040
UNIT-00244,BATCH-2026-00017,6,Connectivity,Pass,2026-02-02,TEST006
UNIT-00245,BATCH-2026-00017,2,Camera,Pass,2026-01-30,TEST024
UNIT-00246,BATCH-2026-00017,7,Thermal,Pass,2026-02-02,TEST023
UNIT-00247,BATCH-2026-00017,8,Final,Pass,2026-01-30,TEST021
UNIT-00248,BATCH-2026-00017,1,Electrical,Pass,2026-02-03,TEST006
UNIT-00249,BATCH-2026-00017,3,Speaker,Pass,2026-01-28,TEST021
UNIT-00250,BATCH-2026-00017,5,Screen,Pass,2026-01-31,TEST030
UNIT-00251,BATCH-2026-00017,5,Screen,Pass,2026-01-29,TEST033
UNIT-00252,BATCH-2026-00017,8,Final,Pass,2026-01-30,TEST002
UNIT-00253,BATCH-2026-00017,4,Battery,Pass,2026-01-30,TEST013
UNIT-00254,BATCH-2026-00017,2,Camera,Fail,2026-02-02,TEST022
UNIT-00255,BATCH-2026-00017,7,Thermal,Pass,2026-01-28,TEST025
UNIT-00256,BATCH-2026-00017,6,Connectivity,Pass,2026-02-04,TEST047
UNIT-00257,BATCH-2026-00017,4,Battery,Pass,2026-02-04,TEST006
UNIT-00258,BATCH-2025-00018,1,Electrical,Pass,2026-01-01,TEST031
UNIT-00259,BATCH-2025-00018,5,Screen,Pass,2025-12-31,TEST016
UNIT-00260,BATCH-2025-00018,3,Speaker,Pass,2026-01-02,TEST042
UNIT-00261,BATCH-2025-00018,1,Electrical,Pass,2025-12-29,TEST002
UNIT-00262,BATCH-2025-00018,2,Camera,Pass,2026-01-04,TEST018
UNIT-00263,BATCH-2025-00018,8,Final,Pass,2026-01-04,TEST047
UNIT-00264,BATCH-2025-00018,4,Battery,Pass,2026-01-03,TEST023
UNIT-00265,BATCH-2025-00018,7,Thermal,Pass,2026-01-03,TEST003
UNIT-00266,BATCH-2025-00018,1,Electrical,Pass,2026-01-04,TEST011
UNIT-00267,BATCH-2025-00018,5,Screen,Pass,2026-01-03,TEST047
UNIT-00268,BATCH-2025-00018,4,Battery,Pass,2025-12-31,TEST032
UNIT-00269,BATCH-2025-00018,6,Connectivity,Pass,2026-01-04,TEST032
UNIT-00270,BATCH-2025-00018,8,Final,Pass,2026-01-02,TEST001
UNIT-00271,BATCH-2025-00019,3,Speaker,Pass,2025-11-12,TEST019
UNIT-00272,BATCH-2025-00019,7,Thermal,Pass,2025-11-11,TEST046
UNIT-00273,BATCH-2025-00019,3,Speaker,Pass,2025-11-10,TEST019
UNIT-00274,BATCH-2025-00019,4,Battery,Pass,2025-11-11,TEST005
UNIT-00275,BATCH-2025-00019,6,Connectivity,Pass,2025-11-17,TEST021
UNIT-00276,BATCH-2025-00019,5,Screen,Pass,2025-11-17,TEST032
UNIT-00277,BATCH-2025-00019,1,Electrical,Pass,2025-11-14,TEST028
UNIT-00278,BATCH-2025-00019,5,Screen,Pass,2025-11-17,TEST031
UNIT-00279,BATCH-2025-00019,3,Speaker,Pass,2025-11-11,TEST002
UNIT-00280,BATCH-2025-00019,2,Camera,Pass,2025-11-10,TEST050
UNIT-00281,BATCH-2025-00019,1,Electrical,Pass,2025-11-11,TEST040
UNIT-00282,BATCH-2026-00020,5,Screen,Pass,2026-09-02,TEST025
UNIT-00283,BATCH-2026-00020,8,Final,Pass,2026-09-01,TEST010
UNIT-00284,BATCH-2026-00020,3,Speaker,Pass,2026-09-05,TEST047
UNIT-00285,BATCH-2026-00020,4,Battery,Pass,2026-09-06,TEST042
UNIT-00286,BATCH-2026-00020,8,Final,Fail,2026-09-08,TEST038
UNIT-00287,BATCH-2026-00020,4,Battery,Pass,2026-09-03,TEST038
UNIT-00288,BATCH-2026-00020,5,Screen,Pass,2026-09-05,TEST020
UNIT-00289,BATCH-2026-00020,4,Battery,Pass,2026-09-03,TEST023
UNIT-00290,BATCH-2026-00020,7,Thermal,Pass,2026-09-07,TEST014
UNIT-00291,BATCH-2026-00020,3,Speaker,Pass,2026-09-01,TEST025
UNIT-00292,BATCH-2026-00020,4,Battery,Pass,2026-09-04,TEST039
UNIT-00293,BATCH-2026-00020,3,Speaker,Pass,2026-09-07,TEST013
UNIT-00294,BATCH-2026-00020,6,Connectivity,Pass,2026-09-06,TEST047
UNIT-00295,BATCH-2026-00020,1,Electrical,Pass,2026-09-05,TEST012
UNIT-00296,BATCH-2026-00020,1,Electrical,Pass,2026-09-03,TEST019
UNIT-00297,BATCH-2026-00020,5,Screen,Pass,2026-09-04,TEST050
UNIT-00298,BATCH-2026-00020,7,Thermal,Pass,2026-09-01,TEST044
UNIT-00299,BATCH-2026-00020,6,Connectivity,Pass,2026-09-02,TEST003
UNIT-00300,BATCH-2025-00021,2,Camera,Pass,2025-10-19,TEST001
UNIT-00301,BATCH-2025-00021,1,Electrical,Pass,2025-10-24,TEST004
UNIT-00302,BATCH-2025-00021,6,Connectivity,Pass,2025-10-21,TEST033
UNIT-00303,BATCH-2025-00021,5,Screen,Pass,2025-10-24,TEST016
UNIT-00304,BATCH-2025-00021,3,Speaker,Pass,2025-10-22,TEST036
UNIT-00305,BATCH-2025-00021,2,Camera,Pass,2025-10-17,TEST002
UNIT-00306,BATCH-2025-00021,6,Connectivity,Pass,2025-10-19,TEST016
UNIT-00307,BATCH-2025-00021,7,Thermal,Fail,2025-10-20,TEST021
UNIT-00308,BATCH-2025-00021,5,Screen,Pass,2025-10-17,TEST050
UNIT-00309,BATCH-2025-00021,5,Screen,Pass,2025-10-18,TEST042
UNIT-00310,BATCH-2025-00021,7,Thermal,Pass,2025-10-17,TEST049
UNIT-00311,BATCH-2025-00021,5,Screen,Pass,2025-10-22,TEST035
UNIT-00312,BATCH-2025-00021,4,Battery,Pass,2025-10-18,TEST047
UNIT-00313,BATCH-2025-00021,6,Connectivity,Pass,2025-10-18,TEST001
UNIT-00314,BATCH-2025-00022,4,Battery,Pass,2025-10-17,TEST032
UNIT-00315,BATCH-2025-00022,3,Speaker,Fail,2025-10-17,TEST006
UNIT-00316,BATCH-2025-00022,8,Final,Pass,2025-10-21,TEST044
UNIT-00317,BATCH-2025-00022,1,Electrical,Pass,2025-10-19,TEST009
UNIT-00318,BATCH-2025-00022,3,Speaker,Pass,2025-10-22,TEST034
UNIT-00319,BATCH-2025-00022,1,Electrical,Pass,2025-10-18,TEST013
UNIT-00320,BATCH-2025-00022,6,Connectivity,Pass,2025-10-24,TEST028
UNIT-00321,BATCH-2025-00022,1,Electrical,Pass,2025-10-23,TEST040
UNIT-00322,BATCH-2025-00022,2,Camera,Pass,2025-10-22,TEST017
UNIT-00323,BATCH-2025-00022,2,Camera,Pass,2025-10-22,TEST009
UNIT-00324,BATCH-2025-00022,3,Speaker,Pass,2025-10-23,TEST035
UNIT-00325,BATCH-2025-00022,1,Electrical,Pass,2025-10-23,TEST031
UNIT-00326,BATCH-2026-00023,6,Connectivity,Pass,2026-07-08,TEST038
UNIT-00327,BATCH-2026-00023,5,Screen,Pass,2026-07-09,TEST047
UNIT-00328,BATCH-2026-00023,3,Speaker,Pass,2026-07-07,TEST031
UNIT-00329,BATCH-2026-00023,7,Thermal,Pass,2026-07-10,TEST045
UNIT-00330,BATCH-2026-00023,3,Speaker,Pass,2026-07-11,TEST025
UNIT-00331,BATCH-2026-00023,8,Final,Pass,2026-07-12,TEST020
UNIT-00332,BATCH-2026-00023,4,Battery,Pass,2026-07-06,TEST029
UNIT-00333,BATCH-2026-00023,6,Connectivity,Pass,2026-07-10,TEST048
UNIT-00334,BATCH-2026-00023,1,Electrical,Pass,2026-07-09,TEST017
UNIT-00335,BATCH-2026-00023,2,Camera,Pass,2026-07-07,TEST010
